[rc4d-attrib] Finset.mem_disjUnion: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Finset.disjUnion]'] ...
[rc4d-attrib] Set.antitoneOn_iff_antitone: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Antitone, AntitoneOn]'] ...
[rc4d-attrib] Set.monotoneOn_iff_monotone: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Monotone, MonotoneOn]'] ...
[rc4d-attrib] Set.strictAntiOn_iff_strictAnti: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [StrictAnti, StrictAntiOn]'] ...
[rc4d-attrib] Set.strictMonoOn_iff_strictMono: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [StrictMono, StrictMonoOn]'] ...
[rc4d-attrib] Multiset.disjoint_add_left: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_add_right: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_cons_left: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left]', 'simp [Multiset.disjoint_left] <;> aesop', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_iff_ne: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_right: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_singleton: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.disjoint_union_left: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left] <;> aesop', 'simp [Multiset.disjoint_left]', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.singleton_disjoint: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left]', 'simp [Multiset.disjoint_left] <;> aesop', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Multiset.zero_disjoint: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Multiset.disjoint_left]', 'simp [Multiset.disjoint_left] <;> aesop', 'exact Multiset.disjoint_left', 'simpa using Multiset.disjoint_left'] ...
[rc4d-attrib] Set.disjoint_iUnion_left: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Set.disjoint_left] <;> aesop', 'simp [Set.disjoint_left]', 'exact Set.disjoint_left', 'simpa using Set.disjoint_left'] ...
[rc4d-attrib] Set.disjoint_iUnion_right: ['simp', 'simp_all', 'aesop', 'classical <;> aesop', 'simp [Set.disjoint_left] <;> aesop', 'simp [Set.disjoint_left]', 'exact Set.disjoint_left', 'simpa using Set.disjoint_left'] ...
