[rc5s-b10] Finset.Nonempty.inf_eq_bot_iff: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Finset.Nonempty.strong_induction: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.Nonempty.sup_eq_top_iff: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.Nontrivial.erase_nonempty: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.card_mono: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.card_strictMono: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.card_union_eq_card_add_card: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Finset.codisjoint_inf_left: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.codisjoint_inf_right: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.comp_inf_eq_inf_comp_of_is_total: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.comp_sup_eq_sup_comp_of_is_total: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_biUnion_left: ranks 6-10 (2 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_biUnion_right: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_filter_filter': ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_image: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_insert_right: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_map: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_sup_left: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.disjoint_sup_right: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.fin_mono: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Finset.image_mono: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.max'_image: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.mem_fin: ranks 6-10 (2 programs, cap 60s) ...
[rc5s-b10] Finset.mem_insert: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.mem_singleton: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.min'_image: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.monotone_preimage: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Finset.pairwise_cons': ranks 6-10 (4 programs, cap 60s) ...
